0.25 0.25 0.25
0.0919711 0.0919711 0.0919711
0.0919711 0.0919711 0.724087
0.0919711 0.724087 0.0919711
0.724087 0.0919711 0.0919711
0.319794 0.319794 0.319794
0.319794 0.319794 0.0406191
0.319794 0.0406191 0.319794
0.0406191 0.319794 0.319794
0.0563508 0.0563508 0.443649
0.0563508 0.443649 0.0563508
0.443649 0.0563508 0.0563508
0.443649 0.443649 0.0563508
0.443649 0.0563508 0.443649
0.0563508 0.443649 0.443649
0 0 0
1 0 0
0 1 0
0 0 1
0.333333 0.333333 0.333333
0.333333 0.333333 0.333333
0.333333 0.333333 0.333333
0.101287 0.101287 0.797427
0.797427 0.101287 0.101287
0.101287 0.797427 0.101287
0.101287 0.797427 0.101287
0.101287 0.101287 0.797427
0.797427 0.101287 0.101287
0.797427 0.101287 0.101287
0.101287 0.797427 0.101287
0.101287 0.101287 0.797427
0.470142 0.470142 0.0597159
0.0597159 0.470142 0.470142
0.470142 0.0597159 0.470142
0.470142 0.0597159 0.470142
0.470142 0.470142 0.0597159
0.0597159 0.470142 0.470142
0.0597159 0.470142 0.470142
0.470142 0.0597159 0.470142
0.470142 0.470142 0.0597159
0 0.333333 0.333333
0 0.333333 0.333333
0 0.333333 0.333333
0 0.797427 0.101287
0 0.101287 0.797427
0 0.101287 0.101287
0 0.101287 0.101287
0 0.101287 0.101287
0 0.797427 0.101287
0 0.101287 0.797427
0 0.797427 0.101287
0 0.101287 0.797427
0 0.0597159 0.470142
0 0.470142 0.0597159
0 0.470142 0.470142
0 0.470142 0.470142
0 0.470142 0.470142
0 0.0597159 0.470142
0 0.470142 0.0597159
0 0.0597159 0.470142
0 0.470142 0.0597159
0.333333 0 0.333333
0.333333 0 0.333333
0.333333 0 0.333333
0.101287 0 0.797427
0.797427 0 0.101287
0.101287 0 0.101287
0.101287 0 0.101287
0.101287 0 0.101287
0.797427 0 0.101287
0.797427 0 0.101287
0.101287 0 0.797427
0.101287 0 0.797427
0.470142 0 0.0597159
0.0597159 0 0.470142
0.470142 0 0.470142
0.470142 0 0.470142
0.470142 0 0.470142
0.0597159 0 0.470142
0.0597159 0 0.470142
0.470142 0 0.0597159
0.470142 0 0.0597159
0.333333 0.333333 0
0.333333 0.333333 0
0.333333 0.333333 0
0.101287 0.101287 0
0.797427 0.101287 0
0.101287 0.797427 0
0.797427 0.101287 0
0.101287 0.101287 0
0.101287 0.101287 0
0.101287 0.797427 0
0.101287 0.797427 0
0.797427 0.101287 0
0.470142 0.470142 0
0.0597159 0.470142 0
0.470142 0.0597159 0
0.0597159 0.470142 0
0.470142 0.470142 0
0.470142 0.470142 0
0.470142 0.0597159 0
0.470142 0.0597159 0
0.0597159 0.470142 0
